mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,benign_noise,101,thetashield,500000,500,1803500000000000000,2525346119924357661,303998643039986400,0,,3607000000000000000000,3607000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,benign_noise,101,coverage_thetashield,450000,500,1803500000000000000,2525346119924357661,303998643039986400,0,,3607000000000000000000,3607000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,0,14569971428571430028
inelastic,benign_noise,211,thetashield,500000,500,1701000000000000000,1479273501877608684,312406383124063800,0,,3402000000000000000000,3402000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,benign_noise,211,coverage_thetashield,450000,500,1701000000000000000,1479273501877608684,312406383124063800,0,,3402000000000000000000,3402000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,0,3943267605633803211
inelastic,benign_noise,307,thetashield,500000,500,1894500000000000000,2234056708906328166,345604203456042000,0,,3789000000000000000000,3789000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,benign_noise,307,coverage_thetashield,450000,500,1894500000000000000,2234056708906328166,345604203456042000,0,,3789000000000000000000,3789000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,0,5987773255813954087
inelastic,benign_noise,401,thetashield,500000,500,1761500000000000000,3786357297790390868,296099012960990100,0,,3523000000000000000000,3523000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,benign_noise,401,coverage_thetashield,450000,500,1761500000000000000,3786357297790390868,296099012960990100,0,,3523000000000000000000,3523000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,0,3147833333333333648
inelastic,benign_noise,503,thetashield,500000,500,1796000000000000000,1759936850654911065,283901092839010900,0,,3592000000000000000000,3592000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,benign_noise,503,coverage_thetashield,450000,500,1796000000000000000,1759936850654911065,283901092839010900,0,,3592000000000000000000,3592000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,0,3006028481012658528
inelastic,persistent_informed_buying,101,thetashield,500000,865,3112476000000000000,-1400323711671588794612,13449867514498673800,179104477611940298,289017341040462427,3578000000000000000000,3578000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_buying,101,coverage_thetashield,450000,855,3075994000000000000,-1400360193671588794612,13449867514498673800,179104477611940298,289017341040462427,3578000000000000000000,3578000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,234154073793615465
inelastic,persistent_informed_buying,211,thetashield,500000,678,2353497000000000000,-1466366379115384226588,12595649675956495500,118421052631578947,518292682926829268,3438000000000000000000,3438000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_buying,211,coverage_thetashield,450000,677,2350723000000000000,-1466369153115384226588,12595649675956495500,118421052631578947,518292682926829268,3438000000000000000000,3438000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,22,198567551293029648
inelastic,persistent_informed_buying,307,thetashield,500000,809,2883587000000000000,-1539532941252347810730,12952515009525148800,246575342465753424,341317365269461077,3582000000000000000000,3582000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_buying,307,coverage_thetashield,450000,800,2853205000000000000,-1539563323252347810730,12952515009525148800,246575342465753424,341317365269461077,3582000000000000000000,3582000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,132199778335005028
inelastic,persistent_informed_buying,401,thetashield,500000,907,3267049000000000000,-1796865565311520963865,13813327948133278100,142857142857142857,355932203389830508,3598000000000000000000,3598000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_buying,401,coverage_thetashield,450000,891,3210199000000000000,-1796922415311520963865,13813327948133278100,142857142857142857,355932203389830508,3598000000000000000000,3598000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,22,430814908169014127
inelastic,persistent_informed_buying,503,thetashield,500000,912,3160764000000000000,-1006400520284457480533,12489863754898636300,126760563380281690,307692307692307692,3402000000000000000000,3402000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_buying,503,coverage_thetashield,450000,897,3107338000000000000,-1006453946284457480533,12489863754898636300,126760563380281690,307692307692307692,3402000000000000000000,3402000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,20,328611261056863904
inelastic,persistent_informed_selling,101,thetashield,500000,967,3599045000000000000,-924421901798084034472,14011493050114929100,126984126984126984,293785310734463276,3701000000000000000000,3701000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_selling,101,coverage_thetashield,450000,946,3520124000000000000,-924500822798084034472,14011493050114929100,126984126984126984,293785310734463276,3701000000000000000000,3701000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,1250000000000000000
inelastic,persistent_informed_selling,211,thetashield,500000,802,2759423000000000000,-662698418053154746697,12426331494263313700,219178082191780821,341317365269461077,3407000000000000000000,3407000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_selling,211,coverage_thetashield,450000,795,2734807000000000000,-662723034053154746697,12426331494263313700,219178082191780821,341317365269461077,3407000000000000000000,3407000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,21,277041258620689682
inelastic,persistent_informed_selling,307,thetashield,500000,840,3060371000000000000,-915441396733925328493,13814969678149695400,153846153846153846,342857142857142857,3621000000000000000000,3621000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_selling,307,coverage_thetashield,450000,829,3023185000000000000,-915478582733925328493,13814969678149695400,153846153846153846,342857142857142857,3621000000000000000000,3621000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,232776327111984306
inelastic,persistent_informed_selling,401,thetashield,500000,779,2785195000000000000,-818838628931582272459,12778864447788643200,225352112676056338,408284023668639053,3603000000000000000000,3603000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_selling,401,coverage_thetashield,450000,773,2766362000000000000,-818857461931582272459,12778864447788643200,225352112676056338,408284023668639053,3603000000000000000000,3603000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,191248654994528704
inelastic,persistent_informed_selling,503,thetashield,500000,858,2987287000000000000,-843244066392763983788,12766465067664649400,128571428571428571,311764705882352941,3500000000000000000000,3500000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,persistent_informed_selling,503,coverage_thetashield,450000,849,2953427000000000000,-843277926392763983788,12766465067664649400,128571428571428571,311764705882352941,3500000000000000000000,3500000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,21,2235071969696969920
inelastic,alternating_toxicity,101,thetashield,500000,500,1812000000000000000,-10181082621384828386,12625460016254598900,0,1000000000000000000,3624000000000000000000,3624000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,alternating_toxicity,101,coverage_thetashield,450000,500,1812000000000000000,-10181082621384828386,12625460016254598900,0,1000000000000000000,3624000000000000000000,3624000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,20,170923076923076940
inelastic,alternating_toxicity,211,thetashield,500000,554,2135657000000000000,5291333648225554633,13502536935025368000,128205128205128205,895061728395061728,3849000000000000000000,3849000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,alternating_toxicity,211,coverage_thetashield,450000,554,2137506000000000000,5293182648225554633,13502536935025368000,128205128205128205,895061728395061728,3849000000000000000000,3849000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,21,174748917661847911
