scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
benign_noise,101,fixed_fee,240,0,500,1803500000000000000,721846119924357661,2525346119924357661,303998643039986400,1803500000000000000,0,0,,,,0,0,,,,0,80253,,0,0,0,0
benign_noise,101,volatility_only,240,200000,550,1984261000000000000,721846119924357661,2706107119924357661,303998643039986400,1984261000000000000,0,825000000000000000,,,,825000000000000000,280,,,,1000000000000000000,80253,3,30,0,0,0
benign_noise,101,raw_positive_markout,240,100000,500,1805889000000000000,721846119924357661,2527735119924357661,303998643039986400,1805889000000000000,0,66666666666666666,,,,66666666666666666,88,,,,-293600927225035075,80253,3,29,0,0,0
benign_noise,101,dead_band_no_persistence,240,350000,500,1803500000000000000,721846119924357661,2525346119924357661,303998643039986400,1803500000000000000,0,0,,,,0,0,,,,0,80253,3,29,0,0,0
benign_noise,101,thetashield,240,500000,500,1803500000000000000,721846119924357661,2525346119924357661,303998643039986400,1803500000000000000,0,0,,,,0,0,,,,0,80253,3,29,0,0,0
benign_noise,211,fixed_fee,240,0,500,1701000000000000000,-221726498122391316,1479273501877608684,312406383124063800,1701000000000000000,0,0,,,,0,0,,,,0,80253,,0,0,0,0
benign_noise,211,volatility_only,240,200000,547,1861159000000000000,-221726498122391316,1639432501877608684,312406383124063800,1861159000000000000,0,825000000000000000,,,,825000000000000000,262,,,,1000000000000000000,80253,3,30,0,0,0
benign_noise,211,raw_positive_markout,240,100000,502,1710148000000000000,-221726498122391316,1488421501877608684,312406383124063800,1710148000000000000,0,233333333333333333,,,,233333333333333333,188,,,,259566685424873382,80253,3,29,0,0,0
benign_noise,211,dead_band_no_persistence,240,350000,500,1701000000000000000,-221726498122391316,1479273501877608684,312406383124063800,1701000000000000000,0,0,,,,0,0,,,,0,80253,3,29,0,0,0
benign_noise,211,thetashield,240,500000,500,1701000000000000000,-221726498122391316,1479273501877608684,312406383124063800,1701000000000000000,0,0,,,,0,0,,,,0,80253,3,29,0,0,0
