split,case_id,dead_band_k_wad,required_toxic_epochs,persistence_window,fast_path_enabled,benign_false_positive_rate_wad,persistent_effective_detection_latency_steps,persistent_lp_improvement_quote_wad,pareto_optimal
training,h4__k_0__p_1_of_1__fast_false,0,1,1,False,3611111111111111,9,3512549000000000000,True
training,h4__k_0__p_1_of_1__fast_true,0,1,1,True,231944444444444444,8,3516794400000000000,True
training,h4__k_0__p_1_of_2__fast_false,0,1,2,False,3611111111111111,9,3512549000000000000,True
training,h4__k_0__p_1_of_2__fast_true,0,1,2,True,231944444444444444,8,3516794400000000000,True
training,h4__k_0__p_2_of_3__fast_false,0,2,3,False,0,14,3461161500000000000,True
training,h4__k_0__p_2_of_3__fast_true,0,2,3,True,231944444444444444,8,3516794400000000000,True
training,h4__k_0__p_3_of_5__fast_false,0,3,5,False,0,19,3404450300000000000,False
training,h4__k_0__p_3_of_5__fast_true,0,3,5,True,231944444444444444,8,3516794400000000000,True
training,h4__k_0p25__p_1_of_1__fast_false,250000000000000000,1,1,False,0,11,3217479000000000000,True
training,h4__k_0p25__p_1_of_1__fast_true,250000000000000000,1,1,True,157777777777777777,9,3225633200000000000,False
training,h4__k_0p25__p_1_of_2__fast_false,250000000000000000,1,2,False,0,11,3217479000000000000,True
training,h4__k_0p25__p_1_of_2__fast_true,250000000000000000,1,2,True,157777777777777777,9,3225633200000000000,False
training,h4__k_0p25__p_2_of_3__fast_false,250000000000000000,2,3,False,0,16,3163623400000000000,False
training,h4__k_0p25__p_2_of_3__fast_true,250000000000000000,2,3,True,157777777777777777,9,3225633200000000000,False
training,h4__k_0p25__p_3_of_5__fast_false,250000000000000000,3,5,False,0,21,3113115500000000000,False
training,h4__k_0p25__p_3_of_5__fast_true,250000000000000000,3,5,True,157777777777777777,9,3225633200000000000,False
training,h4__k_0p5__p_1_of_1__fast_false,500000000000000000,1,1,False,0,11,2945960700000000000,False
training,h4__k_0p5__p_1_of_1__fast_true,500000000000000000,1,1,True,107777777777777777,9,2951111500000000000,False
training,h4__k_0p5__p_1_of_2__fast_false,500000000000000000,1,2,False,0,11,2945960700000000000,False
training,h4__k_0p5__p_1_of_2__fast_true,500000000000000000,1,2,True,107777777777777777,9,2951111500000000000,False
training,h4__k_0p5__p_2_of_3__fast_false,500000000000000000,2,3,False,0,16,2899293100000000000,False
training,h4__k_0p5__p_2_of_3__fast_true,500000000000000000,2,3,True,107777777777777777,9,2951111500000000000,False
training,h4__k_0p5__p_3_of_5__fast_false,500000000000000000,3,5,False,0,21,2856600600000000000,False
training,h4__k_0p5__p_3_of_5__fast_true,500000000000000000,3,5,True,107777777777777777,9,2951111500000000000,False
training,h4__k_1__p_1_of_1__fast_false,1000000000000000000,1,1,False,0,12,2391440100000000000,False
training,h4__k_1__p_1_of_1__fast_true,1000000000000000000,1,1,True,31111111111111110,9,2401306600000000000,False
training,h4__k_1__p_1_of_2__fast_false,1000000000000000000,1,2,False,0,12,2391440100000000000,False
training,h4__k_1__p_1_of_2__fast_true,1000000000000000000,1,2,True,31111111111111110,9,2401306600000000000,False
training,h4__k_1__p_2_of_3__fast_false,1000000000000000000,2,3,False,0,18,2356626300000000000,False
training,h4__k_1__p_2_of_3__fast_true,1000000000000000000,2,3,True,31111111111111110,9,2401306600000000000,False
training,h4__k_1__p_3_of_5__fast_false,1000000000000000000,3,5,False,0,22,2323140500000000000,False
training,h4__k_1__p_3_of_5__fast_true,1000000000000000000,3,5,True,31111111111111110,9,2401306600000000000,False
training,h4__k_1p5__p_1_of_1__fast_false,1500000000000000000,1,1,False,0,24,1796448900000000000,False
training,h4__k_1p5__p_1_of_1__fast_true,1500000000000000000,1,1,True,0,11,1837994300000000000,False
training,h4__k_1p5__p_1_of_2__fast_false,1500000000000000000,1,2,False,0,24,1796772200000000000,False
training,h4__k_1p5__p_1_of_2__fast_true,1500000000000000000,1,2,True,0,11,1837994300000000000,False
training,h4__k_1p5__p_2_of_3__fast_false,1500000000000000000,2,3,False,0,29,1759496200000000000,False
training,h4__k_1p5__p_2_of_3__fast_true,1500000000000000000,2,3,True,0,11,1837855100000000000,False
