split,case_id,dead_band_k_wad,required_toxic_epochs,persistence_window,maximum_increase_pips,maximum_decrease_pips,challenge_benign_false_positive_rate_wad,fpr_reduction_mean_wad,fpr_reduction_ci95_low_wad,fpr_reduction_ci95_high_wad,oscillation_reduction_mean_pips,oscillation_reduction_ci95_low_pips,oscillation_reduction_ci95_high_pips,raw_toxic_premium_coverage_wad,thetashield_toxic_premium_coverage_wad,retained_coverage_ratio_wad,h5_status,training_guardrails_met
training,h5__k_0p5__p_2_of_3__up_500__down_50,500000000000000000,2,3,500,50,189999999999999999,131390022993959996,78054887800809198,184725158187110794,2197,1355,3039,952108674933560254,655836610240020309,688825369946120585,pass,False
training,h5__k_0p5__p_2_of_3__up_500__down_100,500000000000000000,2,3,500,100,107777777777777777,145517612031864846,90747473497455193,200287750566274499,1413,545,2281,952108674933560254,615980506512068651,646964493370520762,pass,False
training,h5__k_0p5__p_2_of_3__up_500__down_150,500000000000000000,2,3,500,150,93333333333333333,178405269613932497,130177490290072840,226633048937792154,927,-37,1891,952108674933560254,578420941216421709,607515671734410881,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_500__down_200,500000000000000000,2,3,500,200,61111111111111110,203867206445733962,159882323642167918,247852089249300006,614,-499,1727,952108674933560254,545503681996828959,572942665431438406,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_500__down_250,500000000000000000,2,3,500,250,46666666666666666,230632485264919201,188117698638094264,273147271891744138,383,-851,1617,952108674933560254,505879376805363455,531325246921696800,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_750__down_50,500000000000000000,2,3,750,50,189999999999999999,127190348550118433,74527949615131326,179852747485105540,2142,1319,2965,952108674933560254,664728544083410845,698164570478046239,pass,False
training,h5__k_0p5__p_2_of_3__up_750__down_100,500000000000000000,2,3,750,100,107777777777777777,137924014636314113,85139035584971589,190708993687656637,1271,462,2080,952108674933560254,631597818809510889,663367360720229597,pass,False
training,h5__k_0p5__p_2_of_3__up_750__down_150,500000000000000000,2,3,750,150,93333333333333333,172687544787327357,125458358068561710,219916731506093004,714,-164,1592,952108674933560254,598127186890864989,628213146921073175,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_750__down_200,500000000000000000,2,3,750,200,61111111111111110,196827883298894325,153525604720067186,240130161877721464,308,-695,1311,952108674933560254,566025973485105158,594497233758114222,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_750__down_250,500000000000000000,2,3,750,250,46666666666666666,218428440570545856,177375977816480656,259480903324611056,-2,-1160,1156,952108674933560254,535867069467577354,562821328673400712,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_1000__down_50,500000000000000000,2,3,1000,50,189999999999999999,123506138023802644,70708703609722045,176303572437883243,2105,1288,2922,952108674933560254,671750650715400442,705539890981747785,pass,False
training,h5__k_0p5__p_2_of_3__up_1000__down_100,500000000000000000,2,3,1000,100,107777777777777777,135308713496867559,82770379672345626,187847047321389492,1201,414,1988,952108674933560254,640729000486788819,672957843317098194,pass,False
training,h5__k_0p5__p_2_of_3__up_1000__down_150,500000000000000000,2,3,1000,150,93333333333333333,167451516572460293,121865315438825311,213037717706095275,609,-233,1451,952108674933560254,608091638428415114,638678813078610771,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_1000__down_200,500000000000000000,2,3,1000,200,61111111111111110,191110158472289185,148671997383609057,233548319560969313,162,-794,1118,952108674933560254,585732219159548439,615194708944776518,inconclusive,False
training,h5__k_0p5__p_2_of_3__up_1000__down_250,500000000000000000,2,3,1000,250,46666666666666666,213489297118225536,173532814408713525,253445779827737547,-200,-1309,909,952108674933560254,547362157170772276,574894622411636075,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_500__down_50,500000000000000000,3,5,500,50,189999999999999999,131390022993959996,78054887800809198,184725158187110794,2197,1355,3039,952108674933560254,655836610240020309,688825369946120585,pass,False
training,h5__k_0p5__p_3_of_5__up_500__down_100,500000000000000000,3,5,500,100,107777777777777777,145517612031864846,90747473497455193,200287750566274499,1413,545,2281,952108674933560254,615980506512068651,646964493370520762,pass,False
training,h5__k_0p5__p_3_of_5__up_500__down_150,500000000000000000,3,5,500,150,93333333333333333,178405269613932497,130177490290072840,226633048937792154,927,-37,1891,952108674933560254,578420941216421709,607515671734410881,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_500__down_200,500000000000000000,3,5,500,200,61111111111111110,203867206445733962,159882323642167918,247852089249300006,614,-499,1727,952108674933560254,545503681996828959,572942665431438406,inconclusive,False
training,h5__k_0p5__p_3_of_5__up_500__down_250,500000000000000000,3,5,500,250,46666666666666666,230632485264919201,188117698638094264,273147271891744138,383,-851,1617,952108674933560254,505879376805363455,531325246921696800,inconclusive,False
