case_id,dimension,value_label,scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
default,default,default,benign_noise,101,thetashield,240,500000,500,1803500000000000000,721846119924357661,2525346119924357661,303998643039986400,1803500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,benign_noise,211,thetashield,240,500000,500,1701000000000000000,-221726498122391316,1479273501877608684,312406383124063800,1701000000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,benign_noise,307,thetashield,240,500000,500,1894500000000000000,339556708906328166,2234056708906328166,345604203456042000,1894500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,benign_noise,401,thetashield,240,500000,500,1761500000000000000,2024857297790390868,3786357297790390868,296099012960990100,1761500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,benign_noise,503,thetashield,240,500000,500,1796000000000000000,-36063149345088935,1759936850654911065,283901092839010900,1796000000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
default,default,default,persistent_informed_buying,101,thetashield,240,500000,865,3112476000000000000,-1403436187671588794612,-1400323711671588794612,13449867514498673800,625112000000000000,2487364000000000000,179104477611940298,289017341040462427,59,721548689870942510,562500000000000000,3208,710982658959537572,960,,411214004701367788,199973,3,29,0,0,0
default,default,default,persistent_informed_buying,211,thetashield,240,500000,678,2353497000000000000,-1468719876115384226588,-1466366379115384226588,12595649675956495500,567856000000000000,1785641000000000000,118421052631578947,518292682926829268,103,496483243690525444,366666666666666666,2580,481707317073170731,733,,192599867859391259,199973,3,29,0,0,0
default,default,default,persistent_informed_buying,307,thetashield,240,500000,809,2883587000000000000,-1542416528252347810730,-1539532941252347810730,12952515009525148800,686452000000000000,2197135000000000000,246575342465753424,341317365269461077,61,645619573796369376,533333333333333333,4950,658682634730538922,875,,430299233792379095,199973,3,29,0,0,0
default,default,default,persistent_informed_buying,401,thetashield,240,500000,907,3267049000000000000,-1800132614311520963865,-1796865565311520963865,13813327948133278100,519742000000000000,2747307000000000000,142857142857142857,355932203389830508,78,651093807934742306,512500000000000000,2124,644067796610169491,1011,,343237190200623587,199973,3,29,0,0,0
default,default,default,persistent_informed_buying,503,thetashield,240,500000,912,3160764000000000000,-1009561284284457480533,-1006400520284457480533,12489863754898636300,609508000000000000,2551256000000000000,126760563380281690,307692307692307692,66,712221304706853839,525000000000000000,1662,692307692307692307,1042,,375784079420359372,199973,3,30,0,0,0
