case_id,dimension,value_label,benign_false_positive_rate_wad,persistent_effective_detection_latency_steps,persistent_detection_success_rate_wad,persistent_lp_improvement_quote_wad,overall_false_positive_rate_wad,overall_false_negative_rate_wad,directionally_correct_toxic_rate_wad,correlation_with_volatility_only_wad,fee_oscillation_pips,pareto_optimal
default,default,default,0,69,1000000000000000000,1225369400000000000,77029361498289863,696568056487174461,443281551827962842,139934901062567298,2849,False
dead_band_k__0p5,dead_band_k,0.5,0,47,1000000000000000000,2284531600000000000,125419172544229915,539995566564681427,582105261352226898,238423321585539572,6566,True
dead_band_k__1p0,dead_band_k,1.0,0,48,1000000000000000000,1803059800000000000,117144363605914660,565565928893988427,571000077005345648,218643740707375031,4946,False
dead_band_k__2p0,dead_band_k,2.0,0,104,900000000000000000,588183800000000000,40160859467060743,856253967974545775,248857687447562114,70293312035152289,1140,False
dead_band_k__3p0,dead_band_k,3.0,0,214,200000000000000000,29330500000000000,2800323587809130,992822474919603980,16463299123012291,7733026826390726,75,False
trailing_window__16,trailing_window,16,0,57,1000000000000000000,1393192600000000000,93616348411058724,641899182171354102,514410160681249652,162410508149704824,3555,False
trailing_window__24,trailing_window,24,0,61,1000000000000000000,1313193000000000000,83849284378203577,675613141152827056,472730841946789730,145890899636948957,3133,False
trailing_window__48,trailing_window,48,0,82,1000000000000000000,1075302600000000000,66267553714558763,742586118527070094,397162751109944847,124761031364648479,2344,False
trailing_window__64,trailing_window,64,0,92,1000000000000000000,968620900000000000,58611796099571769,774509458564233689,359494775594401249,110913718240161225,2032,False
markout_horizon__2,markout_horizon,2 steps,0,50,1000000000000000000,2934282900000000000,104347912145007555,629480334913382584,516255505479873079,167036112426237625,6673,False
markout_horizon__4,markout_horizon,4 steps,0,50,1000000000000000000,6789697500000000000,122528746211727266,595675569677436867,522951397425494011,180545122663704004,15705,True
markout_horizon__8,markout_horizon,8 steps,0,54,1000000000000000000,13114718800000000000,117122190840631632,583104727704989726,498977220425275371,172473210955591353,29869,True
epoch_duration__4,epoch_duration,4 observations,0,46,1000000000000000000,1340662400000000000,97801161487867363,575661256412218821,515247127697407195,171440454185325421,3146,False
epoch_duration__12,epoch_duration,12 observations,0,92,1000000000000000000,843621800000000000,48523714425199754,803394173651127652,302512308255304896,97274967204974803,3992,False
epoch_duration__16,epoch_duration,16 observations,0,107,1000000000000000000,550701800000000000,30066672363496521,875604499695919576,208823959053348374,71989005955467847,2570,False
persistence_n_of_k__1-of-3,persistence_n_of_k,1-of-3,0,46,1000000000000000000,1348383500000000000,95156279466911779,608790686613614220,528079889999903006,189816761118580484,3478,True
persistence_n_of_k__2-of-3,persistence_n_of_k,2-of-3,0,59,1000000000000000000,1293191100000000000,85908390118851201,664704073445435534,483516013353182733,153585368992797634,3118,False
persistence_n_of_k__2-of-5,persistence_n_of_k,2-of-5,0,58,1000000000000000000,1298752500000000000,86254768886282600,654186386849177933,486768045873507936,156000642511666354,3128,False
persistence_n_of_k__4-of-5,persistence_n_of_k,4-of-5,0,77,1000000000000000000,1150556400000000000,66274730493436679,736253892185772650,401753922061993054,123093082407296136,2470,False
persistence_n_of_k__4-of-7,persistence_n_of_k,4-of-7,0,77,1000000000000000000,1166123700000000000,70499473514486456,730918108240688382,410957204978013097,129916976208085099,2592,False
persistence_n_of_k__5-of-7,persistence_n_of_k,5-of-7,0,85,1000000000000000000,1090417400000000000,61731329466166857,756202662650570598,376770644848738686,117126540051711106,2269,False
ewma_alpha__0p10,ewma_alpha,0.10,0,99,1000000000000000000,770902300000000000,52388495911513107,799095782500982787,330097798273777766,100187537896244489,1500,False
ewma_alpha__0p50,ewma_alpha,0.50,0,57,1000000000000000000,1362246300000000000,90075866521489399,648426132105454394,488942159097239688,158135966667699656,3564,False
ewma_alpha__0p75,ewma_alpha,0.75,0,55,1000000000000000000,1415721300000000000,92954796636814309,643563058661128392,500166883974097447,157235570487319211,3851,False
confidence_threshold__0p30,confidence_threshold,0.30,0,68,1000000000000000000,1263932800000000000,78335535690659949,691502242094121256,454262244073958614,149239077620469297,2822,False
confidence_threshold__0p40,confidence_threshold,0.40,0,68,1000000000000000000,1256893000000000000,77755825545732413,693305784767229146,454262244073958614,143949833668632375,2825,False
confidence_threshold__0p60,confidence_threshold,0.60,0,69,1000000000000000000,1188573500000000000,76349649397525131,700139109779544772,434828971201106626,135322481582152220,2927,False
toxicity_threshold__2p5_bps,toxicity_threshold,2.5 bps,0,48,1000000000000000000,1338880500000000000,108663619776470665,588134009855724372,557751263128164957,199510236951362935,3695,False
toxicity_threshold__5p0_bps,toxicity_threshold,5.0 bps,0,52,1000000000000000000,1317749600000000000,96358712506271396,625011348794352959,526270253160103310,172290743021432604,3364,False
toxicity_threshold__15p0_bps,toxicity_threshold,15.0 bps,0,155,700000000000000000,467903300000000000,18884863469249209,937520126589473839,135853751392534276,40165012846787757,629,False
fee_gain__100000,fee_gain,"100,000",0,69,1000000000000000000,237654500000000000,64475656018631760,723274233076443187,411866434345752601,129047096778495506,573,False
fee_gain__250000,fee_gain,"250,000",0,69,1000000000000000000,596014100000000000,64687296230271972,722665801959537494,414502969185677271,129148104196443508,1434,False
fee_gain__750000,fee_gain,"750,000",0,69,1000000000000000000,1867647900000000000,82628613494101886,692716568522721875,448906506170865902,148152721079679262,4266,False
fee_gain__1000000,fee_gain,"1,000,000",0,69,1000000000000000000,2493279400000000000,84439319025342398,692247525370751894,450939026496069154,152851111652695892,5644,False
maximum_fee__3000,maximum_fee,"3,000 pips",0,69,1000000000000000000,1225369400000000000,77029361498289863,696568056487174461,443281551827962842,139934901062567298,2849,False
maximum_fee__5000,maximum_fee,"5,000 pips",0,69,1000000000000000000,1225369400000000000,77029361498289863,696568056487174461,443281551827962842,139934901062567298,2849,False
maximum_fee__20000,maximum_fee,"20,000 pips",0,69,1000000000000000000,1225369400000000000,77029361498289863,696568056487174461,443281551827962842,139934901062567298,2849,False
fee_step_limits__up_250__down_250,fee_step_limits,+250/-250,0,69,1000000000000000000,1187935600000000000,80757659645934378,699195742904303474,446129252105456441,144685489473244554,2574,False
fee_step_limits__up_500__down_250,fee_step_limits,+500/-250,0,69,1000000000000000000,1246197200000000000,84439319025342398,692247525370751894,450939026496069154,152846350696799793,2821,False
fee_step_limits__up_2000__down_500,fee_step_limits,+2000/-500,0,69,1000000000000000000,1225369400000000000,77029361498289863,696568056487174461,443281551827962842,139934901062567298,2849,False
fee_step_limits__up_1000__down_1000,fee_step_limits,+1000/-1000,0,69,1000000000000000000,1192823900000000000,64687296230271972,722665801959537494,414502969185677271,129152862590655637,2871,False
fee_step_limits__up_2000__down_1000,fee_step_limits,+2000/-1000,0,69,1000000000000000000,1192823900000000000,64687296230271972,722665801959537494,414502969185677271,129152862590655637,2871,False
